Ozone Code Profile Report

Project:       C:/MasterThesis_Nrf/nrf53_j.jdebug
Application:   C:/MasterThesis_Nrf/TINY_AnomalyDetection/build_nRF53/zephyr/zephyr.elf
Date:          24 mar 2022


Code Coverage Summary

Module/Function                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                Source Lines                 |                Instructions                 
  MicroAllocator::AllocateNodeAndRegistrations(const class MicroAllocator*, const struct Model*, struct SubgraphAllocations*)                                                                                                                                                                                                                                                                                                                                               |            9 /           16          56.2%  |           44 /           65          67.7%
  MicroAllocator::AllocatePersistentBuffer(const class MicroAllocator*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                       |            2 /            2         100.0%  |            7 /            7         100.0%
  MicroAllocator::AllocatePersistentTfLiteTensor(const class MicroAllocator*, const struct Model*, const struct SubgraphAllocations*, int, int)                                                                                                                                                                                                                                                                                                                             |            7 /           15          46.7%  |           57 /           78          73.1%
  MicroAllocator::AllocatePersistentTfLiteTensorInternal(const class MicroAllocator*)                                                                                                                                                                                                                                                                                                                                                                                       |            2 /            2         100.0%  |            8 /            8         100.0%
  MicroAllocator::AllocateScratchBufferHandles(const class MicroAllocator*, struct **, unsigned int)                                                                                                                                                                                                                                                                                                                                                                        |            1 /            5          20.0%  |            6 /           16          37.5%
  MicroAllocator::AllocateTempTfLiteTensor(const class MicroAllocator*, const struct Model*, const struct SubgraphAllocations*, int, int)                                                                                                                                                                                                                                                                                                                                   |            7 /           15          46.7%  |           58 /           80          72.5%
  MicroAllocator::AllocateTfLiteEvalTensors(const class MicroAllocator*, const struct Model*, struct SubgraphAllocations*)                                                                                                                                                                                                                                                                                                                                                  |           12 /           22          54.5%  |          124 /          175          70.9%
  MicroAllocator::AllocateVariables(const class MicroAllocator*, const struct SubGraph*, struct TfLiteEvalTensor*)                                                                                                                                                                                                                                                                                                                                                          |            5 /           13          38.5%  |           49 /           88          55.7%
  MicroAllocator::CommitStaticMemoryPlan(const class MicroAllocator*, const struct Model*, struct TfLiteEvalTensor*, struct *, int)                                                                                                                                                                                                                                                                                                                                         |           18 /           33          54.5%  |          158 /          217          72.8%
  MicroAllocator::Create(class SimpleMemoryAllocator*, class ErrorReporter*)                                                                                                                                                                                                                                                                                                                                                                                                |            2 /            6          33.3%  |           14 /           19          73.7%
  MicroAllocator::Create(unsigned char*, unsigned int, class ErrorReporter*)                                                                                                                                                                                                                                                                                                                                                                                                |            4 /            4         100.0%  |           14 /           14         100.0%
  MicroAllocator::FinishModelAllocation(const class MicroAllocator*, const struct Model*, struct SubgraphAllocations*, struct **)                                                                                                                                                                                                                                                                                                                                           |            7 /           17          41.2%  |           64 /           88          72.7%
  MicroAllocator::FinishPrepareNodeAllocations(const class MicroAllocator*, int)                                                                                                                                                                                                                                                                                                                                                                                            |            4 /            7          57.1%  |           20 /           28          71.4%
  MicroAllocator::FlatBufferVectorToTfLiteTypeArray(const class MicroAllocator*, const class Vector<int>*, struct TfLiteIntArray**)                                                                                                                                                                                                                                                                                                                                         |            2 /            2         100.0%  |            7 /            7         100.0%
  MicroAllocator::GetBuiltinDataAllocator(const class MicroAllocator*)                                                                                                                                                                                                                                                                                                                                                                                                      |            1 /            1         100.0%  |            2 /            2         100.0%
  MicroAllocator::GetScratchBufferRequests(const class MicroAllocator*)                                                                                                                                                                                                                                                                                                                                                                                                     |            2 /            2         100.0%  |            6 /            6         100.0%
  MicroAllocator::InitScratchBufferData(const class MicroAllocator*)                                                                                                                                                                                                                                                                                                                                                                                                        |            3 /            3         100.0%  |           10 /           10         100.0%
  MicroAllocator::MicroAllocator(const class MicroAllocator*, class SimpleMemoryAllocator*, class ErrorReporter*)                                                                                                                                                                                                                                                                                                                                                           |            0 /            1           0.0%  |           11 /           12          91.7%
  MicroAllocator::PopulateTfLiteTensorFromFlatbuffer(const class MicroAllocator*, const struct Model*, struct TfLiteTensor*, int, int, bool)                                                                                                                                                                                                                                                                                                                                |            6 /            8          75.0%  |           70 /          100          70.0%
  MicroAllocator::RequestScratchBufferInArena(const class MicroAllocator*, unsigned int, int, int*)                                                                                                                                                                                                                                                                                                                                                                         |            0 /           14           0.0%  |            0 /           37           0.0%
  MicroAllocator::ResetTempAllocations(const class MicroAllocator*)                                                                                                                                                                                                                                                                                                                                                                                                         |            2 /            2         100.0%  |            6 /            6         100.0%
  MicroAllocator::StartModelAllocation(const class MicroAllocator*, const struct Model*)                                                                                                                                                                                                                                                                                                                                                                                    |            8 /           20          40.0%  |           58 /           83          69.9%
  MicroAllocator::~MicroAllocator(const class MicroAllocator*)                                                                                                                                                                                                                                                                                                                                                                                                              |            0 /            1           0.0%  |            0 /            1           0.0%
  MicroAllocator::~MicroAllocator(const class MicroAllocator*)                                                                                                                                                                                                                                                                                                                                                                                                              |            0 /            1           0.0%  |            0 /            5           0.0%
  MicroBuiltinDataAllocator::Allocate(const class MicroBuiltinDataAllocator*, unsigned int, unsigned int)                                                                                                                                                                                                                                                                                                                                                                   |            2 /            2         100.0%  |            6 /            6         100.0%
  MicroBuiltinDataAllocator::Deallocate(const class MicroBuiltinDataAllocator*, void*)                                                                                                                                                                                                                                                                                                                                                                                      |            0 /            1           0.0%  |            0 /            1           0.0%
  MicroBuiltinDataAllocator::~MicroBuiltinDataAllocator(const class MicroBuiltinDataAllocator*)                                                                                                                                                                                                                                                                                                                                                                             |            0 /            2           0.0%  |            0 /            5           0.0%
micro_error_reporter.cc                                                                                                                                                                                                                                                                                                                                                                                                                                                     |                                             |                                             
  Log(const char*, struct __va_list)                                                                                                                                                                                                                                                                                                                                                                                                                                        |            0 /            4           0.0%  |            0 /           13           0.0%
  MicroErrorReporter::Report(const class MicroErrorReporter*, const char*, struct __va_list)                                                                                                                                                                                                                                                                                                                                                                                |            0 /            3           0.0%  |            0 /            6           0.0%
  MicroPrintf(const char*)                                                                                                                                                                                                                                                                                                                                                                                                                                                  |            0 /            4           0.0%  |            0 /           11           0.0%
micro_error_reporter.h                                                                                                                                                                                                                                                                                                                                                                                                                                                      |                                             |                                             
  MicroErrorReporter::~MicroErrorReporter(const class MicroErrorReporter*)                                                                                                                                                                                                                                                                                                                                                                                                  |            0 /            2           0.0%  |            0 /            5           0.0%
micro_graph.cc                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                             |                                             
  MicroGraph::FreeSubgraphs(const class MicroGraph*)                                                                                                                                                                                                                                                                                                                                                                                                                        |            0 /           13           0.0%  |            0 /           38           0.0%
  MicroGraph::GetSubgraphInput(const class MicroGraph*, int, int)                                                                                                                                                                                                                                                                                                                                                                                                           |            0 /           10           0.0%  |            0 /           73           0.0%
  MicroGraph::GetSubgraphOutput(const class MicroGraph*, int, int)                                                                                                                                                                                                                                                                                                                                                                                                          |            0 /           10           0.0%  |            0 /           73           0.0%
  MicroGraph::InitSubgraphs(const class MicroGraph*)                                                                                                                                                                                                                                                                                                                                                                                                                        |           14 /           18          77.8%  |           37 /           42          88.1%
  MicroGraph::InvokeSubgraph(const class MicroGraph*, int)                                                                                                                                                                                                                                                                                                                                                                                                                  |           14 /           25          56.0%  |           51 /           89          57.3%
  MicroGraph::MicroGraph(const class MicroGraph*, struct TfLiteContext*, const struct Model*, class MicroAllocator*)                                                                                                                                                                                                                                                                                                                                                        |            3 /            5          60.0%  |           26 /           33          78.8%
  MicroGraph::NumSubgraphInputs(const class MicroGraph*, int)                                                                                                                                                                                                                                                                                                                                                                                                               |            0 /            8           0.0%  |            0 /           57           0.0%
  MicroGraph::NumSubgraphOutputs(const class MicroGraph*, int)                                                                                                                                                                                                                                                                                                                                                                                                              |            0 /            8           0.0%  |            0 /           56           0.0%
  MicroGraph::NumSubgraphs(const class MicroGraph*)                                                                                                                                                                                                                                                                                                                                                                                                                         |            3 /            5          60.0%  |           17 /           23          73.9%
  MicroGraph::PrepareSubgraphs(const class MicroGraph*)                                                                                                                                                                                                                                                                                                                                                                                                                     |           13 /           17          76.5%  |           39 /           49          79.6%
  MicroGraph::ResetVariableTensors(const class MicroGraph*)                                                                                                                                                                                                                                                                                                                                                                                                                 |            4 /           13          30.8%  |           63 /          173          36.4%
  MicroGraph::SetSubgraphAllocations(const class MicroGraph*, struct *)                                                                                                                                                                                                                                                                                                                                                                                                     |            1 /            1         100.0%  |            2 /            2         100.0%
  MicroGraph::~MicroGraph(const class MicroGraph*)                                                                                                                                                                                                                                                                                                                                                                                                                          |            0 /            1           0.0%  |            0 /            1           0.0%
  MicroGraph::~MicroGraph(const class MicroGraph*)                                                                                                                                                                                                                                                                                                                                                                                                                          |            0 /            1           0.0%  |            0 /            5           0.0%
  OpNameFromRegistration(const struct TfLiteRegistration*)                                                                                                                                                                                                                                                                                                                                                                                                                  |            3 /            6          50.0%  |            8 /           15          53.3%
micro_interpreter.cc                                                                                                                                                                                                                                                                                                                                                                                                                                                        |                                             |                                             
  MicroInterpreter::AllocatePersistentBuffer(struct TfLiteContext*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                           |            2 /            2         100.0%  |            7 /            7         100.0%
  MicroInterpreter::AllocateTensors(const class MicroInterpreter*)                                                                                                                                                                                                                                                                                                                                                                                                          |           23 /           50          46.0%  |          327 /          581          56.3%
  MicroInterpreter::GetEvalTensor(const struct TfLiteContext*, int)                                                                                                                                                                                                                                                                                                                                                                                                         |            3 /            3         100.0%  |            8 /            8         100.0%
  MicroInterpreter::GetGraph(struct TfLiteContext*, struct TfLiteIntArray**)                                                                                                                                                                                                                                                                                                                                                                                                |            0 /            3           0.0%  |            0 /            5           0.0%
  MicroInterpreter::GetScratchBuffer(struct TfLiteContext*, int)                                                                                                                                                                                                                                                                                                                                                                                                            |            0 /            3           0.0%  |            0 /            4           0.0%
  MicroInterpreter::GetTensor(const struct TfLiteContext*, int)                                                                                                                                                                                                                                                                                                                                                                                                             |            5 /            5         100.0%  |           14 /           14         100.0%
  MicroInterpreter::Init(const class MicroInterpreter*, class MicroProfiler*)                                                                                                                                                                                                                                                                                                                                                                                               |            6 /            6         100.0%  |           11 /           11         100.0%
  MicroInterpreter::input(const class MicroInterpreter*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                      |            6 /           12          50.0%  |           40 /           67          59.7%
  MicroInterpreter::Invoke(const class MicroInterpreter*)                                                                                                                                                                                                                                                                                                                                                                                                                   |            2 /            7          28.6%  |            8 /           18          44.4%
  MicroInterpreter::MicroInterpreter(const class MicroInterpreter*, const struct Model*, const class MicroOpResolver&, unsigned char*, unsigned int, class ErrorReporter*, class MicroProfiler*)                                                                                                                                                                                                                                                                            |            2 /            2         100.0%  |           35 /           35         100.0%
  MicroInterpreter::output(const class MicroInterpreter*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                     |            6 /           12          50.0%  |           40 /           66          60.6%
  MicroInterpreter::PrepareNodeAndRegistrationDataFromFlatbuffer(const class MicroInterpreter*)                                                                                                                                                                                                                                                                                                                                                                             |           15 /           41          36.6%  |          220 /          374          58.8%
  MicroInterpreter::ReportOpError(struct TfLiteContext*, const char*)                                                                                                                                                                                                                                                                                                                                                                                                       |            0 /            5           0.0%  |            0 /           15           0.0%
  MicroInterpreter::RequestScratchBufferInArena(struct TfLiteContext*, unsigned int, int*)                                                                                                                                                                                                                                                                                                                                                                                  |            0 /            3           0.0%  |            0 /            7           0.0%
  MicroInterpreter::ResetVariableTensors(const class MicroInterpreter*)                                                                                                                                                                                                                                                                                                                                                                                                     |            2 /            2         100.0%  |            4 /            4         100.0%
  MicroInterpreter::~MicroInterpreter(const class MicroInterpreter*)                                                                                                                                                                                                                                                                                                                                                                                                        |            0 /            3           0.0%  |            0 /           10           0.0%
micro_mutable_op_resolver.h                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                             |                                             
  MicroMutableOpResolver<3>::FindOp(const class MicroMutableOpResolver<3>*, const char*)                                                                                                                                                                                                                                                                                                                                                                                    |            0 /            2           0.0%  |            0 /           24           0.0%
  MicroMutableOpResolver<3>::FindOp(const class MicroMutableOpResolver<3>*, enum BuiltinOperator)                                                                                                                                                                                                                                                                                                                                                                           |            0 /            2           0.0%  |           17 /           20          85.0%
  MicroMutableOpResolver<3>::GetOpDataParser(const class MicroMutableOpResolver<3>*, enum BuiltinOperator)                                                                                                                                                                                                                                                                                                                                                                  |            0 /            2           0.0%  |           14 /           20          70.0%
  MicroMutableOpResolver<3>::~MicroMutableOpResolver(const class MicroMutableOpResolver<3>*)                                                                                                                                                                                                                                                                                                                                                                                |            0 /            2           0.0%  |            0 /            5           0.0%
micro_op_resolver.h                                                                                                                                                                                                                                                                                                                                                                                                                                                         |                                             |                                             
  MicroOpResolver::FindOp(const class MicroOpResolver*, const char*, int)                                                                                                                                                                                                                                                                                                                                                                                                   |            0 /            2           0.0%  |            0 /            5           0.0%
  MicroOpResolver::FindOp(const class MicroOpResolver*, enum BuiltinOperator, int)                                                                                                                                                                                                                                                                                                                                                                                          |            2 /            2         100.0%  |            5 /            5         100.0%
micro_string.cc                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                             |                                             
  FastFloatToBufferLeft(float, char*)                                                                                                                                                                                                                                                                                                                                                                                                                                       |            0 /           38           0.0%  |            0 /          107           0.0%
  FastInt32ToBufferLeft(int, char*)                                                                                                                                                                                                                                                                                                                                                                                                                                         |            0 /            5           0.0%  |            0 /           10           0.0%
  FastUInt32ToBufferLeft(unsigned int, char*, int)                                                                                                                                                                                                                                                                                                                                                                                                                          |            0 /           12           0.0%  |            0 /           25           0.0%
  FormatFloat(char*, float)                                                                                                                                                                                                                                                                                                                                                                                                                                                 |            0 /            2           0.0%  |            0 /            7           0.0%
  FormatHex(char*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                            |            0 /            2           0.0%  |            0 /            8           0.0%
  FormatInt32(char*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                   |            0 /            2           0.0%  |            0 /            7           0.0%
  FormatUInt32(char*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                         |            0 /            2           0.0%  |            0 /            8           0.0%
