Ozone Code Profile Report

Project:       C:/MasterThesis_Nrf/nrf53_j.jdebug
Application:   C:/MasterThesis_Nrf/TINY_AnomalyDetection/build_nRF53/zephyr/zephyr.elf
Date:          24 mar 2022


Code Coverage Summary

Module/Function                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                Source Lines                 |                Instructions                 
  EndianScalar<unsigned char>(unsigned char)                                                                                                                                                                                                                                                                                                                                                                                                                                |            1 /            1         100.0%  |            1 /            1         100.0%
  EndianScalar<unsigned int>(unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                  |            1 /            1         100.0%  |            1 /            1         100.0%
  ReadScalar<int>(const void*)                                                                                                                                                                                                                                                                                                                                                                                                                                              |            1 /            1         100.0%  |            4 /            4         100.0%
  ReadScalar<short unsigned int>(const void*)                                                                                                                                                                                                                                                                                                                                                                                                                               |            1 /            1         100.0%  |            4 /            4         100.0%
  ReadScalar<signed char>(const void*)                                                                                                                                                                                                                                                                                                                                                                                                                                      |            1 /            1         100.0%  |            4 /            4         100.0%
  ReadScalar<unsigned char>(const void*)                                                                                                                                                                                                                                                                                                                                                                                                                                    |            1 /            1         100.0%  |            4 /            4         100.0%
  ReadScalar<unsigned int>(const void*)                                                                                                                                                                                                                                                                                                                                                                                                                                     |            1 /            1         100.0%  |            4 /            4         100.0%
cbprintf_complete.c                                                                                                                                                                                                                                                                                                                                                                                                                                                         |                                             |                                             
  cbvprintf(int()*, void*, const char*, struct __va_list)                                                                                                                                                                                                                                                                                                                                                                                                                   |           49 /          225          21.8%  |          236 /          741          31.8%
  encode_uint(long long unsigned int, struct conversion*, char*, const char*)                                                                                                                                                                                                                                                                                                                                                                                               |            5 /           14          35.7%  |           40 /           90          44.4%
  extract_decimal(const char**)                                                                                                                                                                                                                                                                                                                                                                                                                                             |            6 /            6         100.0%  |           17 /           17         100.0%
  outs(int()*, void*, const char*, const char*)                                                                                                                                                                                                                                                                                                                                                                                                                             |            4 /            6          66.7%  |           17 /           22          77.3%
clock_control_nrf.c                                                                                                                                                                                                                                                                                                                                                                                                                                                         |                                             |                                             
  api_blocking_start(const struct device*, void*)                                                                                                                                                                                                                                                                                                                                                                                                                           |            0 /            5           0.0%  |            0 /           20           0.0%
  api_start(const struct device*, void*, void(const struct device*, void*, void*)*, void*)                                                                                                                                                                                                                                                                                                                                                                                  |            0 /            2           0.0%  |            0 /            7           0.0%
  api_stop(const struct device*, void*)                                                                                                                                                                                                                                                                                                                                                                                                                                     |            0 /            2           0.0%  |            0 /            4           0.0%
  async_start(const struct device*, void*, void(const struct device*, void*, void*)*, void*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                  |            8 /            9          88.9%  |           21 /           22          95.5%
  blocking_start_callback(const struct device*, void*, void*)                                                                                                                                                                                                                                                                                                                                                                                                               |            0 /            2           0.0%  |            0 /            4           0.0%
  clk_init(const struct device*)                                                                                                                                                                                                                                                                                                                                                                                                                                            |            9 /           12          75.0%  |           33 /           38          86.8%
  clkstarted_handle(const struct device*, enum clock_control_nrf_type)                                                                                                                                                                                                                                                                                                                                                                                                      |            7 /            8          87.5%  |           14 /           15          93.3%
